nose_x,nose_y,nose_z,nose_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,label,exercise
0.5493349,0.40151116,-0.510986,0.99991333,0.6843947,0.58872485,-0.16590501,0.9986523,0.4286317,0.57591236,-0.14214331,0.9997538,0.7082325,0.8194558,-0.22523949,0.8655566,0.3941378,0.8645774,-0.27522346,0.9342991,0.65020645,0.8646476,-0.60521513,0.71894145,0.42340416,0.92420137,-0.77622616,0.82419366,0.6242596,1.0201087,-0.0115216095,0.42857152,0.47388393,1.0337865,0.013454606,0.4727261,0.6260448,1.3715602,0.08001454,0.010945359,0.46253705,1.3771179,0.11478289,0.004397961,0.62358356,1.6808289,0.42714792,0.0009647626,0.46769056,1.6835581,0.40426642,0.0005822877,correct,bicep_curl
0.54952747,0.40147,-0.49423155,0.9999195,0.6838623,0.587643,-0.1617187,0.99878114,0.4290089,0.5732203,-0.12713699,0.999771,0.7100264,0.82797694,-0.23874626,0.87579566,0.39622793,0.8622275,-0.28797704,0.93674636,0.655542,0.8369383,-0.6291624,0.74464893,0.41587296,0.87935436,-0.82300836,0.83864623,0.62614846,1.0182583,-0.008861441,0.46258512,0.47390804,1.0217196,0.010828645,0.5026734,0.6264779,1.3611885,0.082901165,0.010657066,0.4629014,1.3692166,0.15222605,0.004252312,0.62405765,1.6674699,0.42498907,0.0009073303,0.46888644,1.6708491,0.47204337,0.0005424837,correct,bicep_curl
0.54967374,0.40340307,-0.56021816,0.9999256,0.68336016,0.5873845,-0.22757836,0.9988973,0.4290186,0.57328194,-0.19909851,0.9997889,0.7085719,0.85583836,-0.3456648,0.8838494,0.39695537,0.878886,-0.3854246,0.940439,0.657195,0.8041762,-0.76656866,0.7691189,0.41716138,0.83152926,-0.9022768,0.8534105,0.62780714,1.0173155,-0.004502371,0.4904318,0.47485286,1.0200969,0.006326477,0.5275047,0.63175213,1.3624701,0.093765065,0.010800679,0.46897644,1.3700941,0.16849257,0.004370225,0.63191026,1.6689019,0.44375262,0.0009216089,0.47483605,1.6722655,0.50947,0.0005119881,correct,bicep_curl
0.54975736,0.40530643,-0.5957905,0.99993145,0.68311083,0.5872924,-0.24646297,0.9990014,0.42879528,0.574154,-0.22141877,0.9998059,0.7077909,0.88290054,-0.33639604,0.8905503,0.39678687,0.8967486,-0.37419766,0.94431365,0.65782154,0.78180254,-0.71849775,0.7913801,0.4174828,0.7995027,-0.8897044,0.86705494,0.62841064,1.0164474,-0.00076409883,0.51213306,0.47481722,1.0178553,0.002574721,0.54536784,0.6328412,1.3629855,0.09632058,0.010561118,0.46986452,1.3720714,0.16845311,0.0043771192,0.6329356,1.6699598,0.45181808,0.00090378325,0.47500825,1.6734664,0.5063874,0.0004748238,correct,bicep_curl
0.54967576,0.40642628,-0.5810783,0.9999369,0.68303365,0.5879209,-0.2419593,0.99909186,0.42879862,0.57487124,-0.18991166,0.9998192,0.70306593,0.8929662,-0.3370428,0.89612776,0.3948627,0.90599895,-0.36451942,0.94731486,0.65583986,0.73818785,-0.6877814,0.81182224,0.42393476,0.74984324,-0.88794583,0.8792699,0.629911,1.016258,-0.0014012996,0.52613324,0.47484183,1.0177866,0.0032183155,0.5557294,0.63489723,1.3638557,0.07336021,0.010209396,0.47309065,1.3741747,0.16508906,0.004319438,0.6354275,1.6706731,0.40323916,0.00087540713,0.4786454,1.6737963,0.4926135,0.0004369713,correct,bicep_curl
0.54967785,0.40740836,-0.5746378,0.99994135,0.68304133,0.5878522,-0.23901014,0.99917203,0.4287297,0.575534,-0.1800749,0.9998311,0.70090103,0.8965507,-0.33029133,0.90139294,0.3931926,0.9113692,-0.36323184,0.950762,0.6561522,0.72797936,-0.63748634,0.8302653,0.4282424,0.74870056,-0.8263852,0.8905739,0.63387525,1.0162733,-0.0019757834,0.5441776,0.4754818,1.0180707,0.0038014702,0.5713801,0.64235073,1.3665752,0.05985909,0.009807002,0.47897658,1.3794378,0.16398492,0.0043071415,0.64386505,1.6735193,0.3866558,0.0008294981,0.4860015,1.6760379,0.48738775,0.00040344356,correct,bicep_curl
0.549579,0.408504,-0.62254924,0.9999446,0.6829539,0.5879137,-0.274952,0.99924177,0.42861325,0.57621264,-0.21972796,0.9998416,0.69961786,0.8947071,-0.3643688,0.90477353,0.39253265,0.911834,-0.3884872,0.9538322,0.65481955,0.74148965,-0.68058777,0.8465439,0.42811257,0.75170743,-0.8450943,0.9006343,0.63404644,1.0157439,-0.0024065147,0.55842024,0.47512442,1.0180271,0.0042385804,0.5844733,0.6423169,1.3668518,0.06320379,0.009582734,0.4786037,1.3803772,0.17784469,0.0043472596,0.6438332,1.6740127,0.40719533,0.00080897415,0.48570484,1.6765119,0.52689725,0.00037573362,correct,bicep_curl
0.54943264,0.4074829,-0.52650833,0.99994344,0.6833134,0.58748776,-0.17020871,0.9992894,0.42885995,0.5734421,-0.13117714,0.99984205,0.7031615,0.85342187,-0.27170593,0.9058317,0.39255017,0.88205755,-0.29359442,0.9498622,0.654171,0.79045016,-0.68236196,0.84996057,0.41637707,0.8199089,-0.8401314,0.90284556,0.63402724,1.0154133,-0.002907303,0.537994,0.47522348,1.0174857,0.0048827576,0.5664512,0.6368479,1.3615412,0.04625995,0.009364391,0.47207958,1.3670037,0.081407644,0.004171317,0.63838255,1.668073,0.36057094,0.00076303247,0.47913304,1.6704319,0.3295259,0.00036172644,correct,bicep_curl
0.54916275,0.40686417,-0.4665989,0.99994165,0.68346137,0.58786166,-0.16522434,0.99933857,0.42905307,0.5733314,-0.09808005,0.9998385,0.6898985,0.854263,-0.23728986,0.9070039,0.39227217,0.8827374,-0.26506442,0.9428972,0.63240564,0.83348674,-0.56655294,0.85314333,0.41537604,0.8290966,-0.7856568,0.8997434,0.6327255,1.0177742,-0.008057227,0.5226034,0.47357717,1.0188153,0.010219399,0.55130285,0.62867343,1.3617898,0.049916446,0.009118818,0.46154937,1.3682722,0.10611217,0.0039201863,0.6253231,1.668596,0.37122434,0.00072852604,0.46444243,1.6712251,0.3783366,0.0003407984,correct,bicep_curl
0.54895735,0.40648803,-0.49829093,0.9999437,0.6835048,0.58854455,-0.16505705,0.9993934,0.4291842,0.5733918,-0.10858931,0.9998359,0.6903683,0.835045,-0.22970493,0.91256,0.38941288,0.865139,-0.2623194,0.9389785,0.63387644,0.8570607,-0.5789891,0.8611737,0.4099804,0.87234604,-0.79113734,0.8979496,0.62672746,1.0210654,-0.009735688,0.5227484,0.47186965,1.0188878,0.011915686,0.54801154,0.6219071,1.3684733,0.086624704,0.009035158,0.45358238,1.368579,0.11649134,0.0037362012,0.6135675,1.6751469,0.44890422,0.00069110346,0.4531545,1.6733304,0.40365642,0.00032425122,correct,bicep_curl
