nose_x,nose_y,nose_z,nose_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,label,exercise
0.43723416,0.36804333,-0.75812006,0.9998791,0.6079594,0.58901477,-0.18104509,0.9990645,0.2699827,0.60479295,-0.15465982,0.99881124,0.67673784,0.8576584,-0.50940627,0.7577235,0.18691796,0.92149454,-0.5555018,0.83952624,0.65513843,0.78840816,-1.212144,0.9093064,0.22517987,0.79522026,-1.4134264,0.93680215,0.57091796,1.253488,-0.018769732,0.032158867,0.3394729,1.2620727,0.021835519,0.026570095,0.5587772,1.783722,0.0021899901,0.013801219,0.32236892,1.7786814,-0.021739924,0.0063505177,0.5592376,2.273339,0.3983867,0.0008772535,0.3382079,2.2570827,0.2011675,0.00022539706,incorrect,bicep_curl
0.43020448,0.36220595,-0.6953481,0.9999404,0.6149109,0.61601293,-0.15813269,0.9995113,0.27012044,0.61217713,-0.16248657,0.99947697,0.67976075,0.94118315,-0.5632295,0.7539516,0.18885054,0.9531982,-0.6334022,0.8560374,0.6368934,0.7691146,-1.203741,0.9286124,0.25974762,0.7772464,-1.4290224,0.9605766,0.5698203,1.2838101,-0.016864013,0.011294504,0.32642478,1.2897738,0.020766428,0.009290624,0.5571128,1.8213557,0.024983624,0.0013178632,0.3172644,1.8159051,0.018999469,0.00053871726,0.5593527,2.3084726,0.49460754,0.00010290949,0.33605483,2.2864435,0.3251947,8.648402e-06,incorrect,bicep_curl
0.43055668,0.36212093,-0.69499516,0.99994427,0.61397684,0.61028713,-0.16054568,0.9995373,0.2701179,0.60887223,-0.1512838,0.99949867,0.6783242,0.94146425,-0.5489715,0.7626025,0.18845683,0.95375794,-0.5998651,0.8616767,0.63690156,0.7694525,-1.1065298,0.93497986,0.26608962,0.7570259,-1.3500623,0.9630759,0.5734489,1.281322,-0.021064619,0.012010141,0.33180404,1.2897509,0.024935272,0.009758991,0.56646186,1.8220588,0.019170333,0.0012655669,0.3249697,1.8190688,0.03128711,0.00051804085,0.57290554,2.3087583,0.48591462,9.885866e-05,0.34566754,2.290268,0.3338098,8.249204e-06,incorrect,bicep_curl
0.43072248,0.36193833,-0.70495856,0.99994546,0.6128667,0.6064796,-0.17290245,0.9995441,0.27003288,0.60698,-0.15178087,0.9995147,0.67744625,0.9389239,-0.55379236,0.77238065,0.18808332,0.95451885,-0.59999424,0.86781603,0.6367499,0.7696793,-1.1352229,0.94059217,0.27100906,0.75152785,-1.3511561,0.96563345,0.57400835,1.2757841,-0.021429785,0.013164676,0.3331371,1.2868435,0.025202285,0.010652632,0.56909215,1.817897,0.017742457,0.0012190022,0.32759708,1.8162168,0.030814162,0.0005062245,0.57781637,2.3019683,0.48584777,9.6710755e-05,0.3501462,2.2858822,0.33124876,8.2224e-06,incorrect,bicep_curl
0.43088174,0.36194512,-0.6909005,0.9999482,0.6122776,0.605211,-0.16415243,0.99956536,0.2694319,0.60604554,-0.14907089,0.999543,0.6755955,0.9387507,-0.5137665,0.78443545,0.18778823,0.95565826,-0.58510333,0.8750341,0.63668954,0.77059096,-1.0966395,0.945707,0.2739728,0.75014865,-1.3260767,0.96815974,0.57447946,1.2712799,-0.020340756,0.015969798,0.33376622,1.2843782,0.024045656,0.01286118,0.57161534,1.8100797,0.012734587,0.0011926864,0.3291641,1.8120608,0.027544614,0.0005033733,0.5817512,2.2952895,0.46433625,9.521401e-05,0.35336876,2.2799852,0.31666666,8.24218e-06,incorrect,bicep_curl
0.4310915,0.36190695,-0.6736067,0.9999522,0.61216134,0.6040395,-0.15616606,0.99959344,0.26885933,0.60478246,-0.14101782,0.9995668,0.6734662,0.94571596,-0.46982032,0.7936681,0.18866405,0.957404,-0.55616224,0.8780711,0.6352586,0.7710402,-0.9990176,0.9505813,0.2765856,0.75051856,-1.2719128,0.9699835,0.5744685,1.266964,-0.018817237,0.017745666,0.3336153,1.280711,0.02259216,0.014027883,0.57140005,1.8062559,0.0042469786,0.0011679678,0.32915312,1.8095653,0.012630026,0.0004927052,0.5812025,2.2911706,0.43339533,9.341751e-05,0.3532338,2.278718,0.27192757,8.0197415e-06,incorrect,bicep_curl
0.4310994,0.36143547,-0.667547,0.999956,0.6121636,0.6023731,-0.15405622,0.9996211,0.2688622,0.60321933,-0.13464151,0.9995915,0.6694355,0.9477617,-0.4700458,0.80327773,0.18957044,0.95738643,-0.55210227,0.88246614,0.6308329,0.7713489,-0.9998749,0.9550359,0.27858508,0.7502386,-1.2726208,0.97178847,0.57452357,1.2643715,-0.018272068,0.01923241,0.3338038,1.278801,0.022083122,0.015020729,0.5718389,1.8045905,0.00078405207,0.0011426819,0.33097404,1.8090093,0.0052257404,0.00048240874,0.5824505,2.2897973,0.42276406,9.176491e-05,0.35475034,2.2791107,0.25119346,7.822376e-06,incorrect,bicep_curl
0.43110767,0.3612482,-0.6714125,0.99995893,0.61085707,0.60174817,-0.15464664,0.999639,0.26881316,0.6030732,-0.13642672,0.9996114,0.66554415,0.94605047,-0.47406706,0.8115499,0.1902934,0.9573272,-0.55253994,0.8873535,0.6296419,0.7673926,-1.0090917,0.9589048,0.2785644,0.7512501,-1.2841513,0.973437,0.5744762,1.264316,-0.017905977,0.022211822,0.33396584,1.2789711,0.021692928,0.017274324,0.57350266,1.8017577,0.011585327,0.0011265102,0.33353263,1.8084,0.03290709,0.00048026364,0.58625615,2.2856023,0.45534238,9.131541e-05,0.35855356,2.2764463,0.3238899,7.855996e-06,incorrect,bicep_curl
0.43118015,0.36107057,-0.6542031,0.9999623,0.61079645,0.5978318,-0.14483957,0.9996641,0.26960632,0.599827,-0.122260176,0.99963266,0.6647459,0.94764364,-0.45240402,0.822,0.19133599,0.95657176,-0.5399045,0.8919377,0.62583447,0.76478857,-0.949602,0.9627164,0.27834457,0.7503242,-1.246902,0.97498554,0.5713946,1.2631297,-0.017954685,0.025194747,0.33220226,1.2758394,0.021761531,0.019260623,0.5691565,1.7992158,0.0019821958,0.001123348,0.3311847,1.8064996,0.05704878,0.00047586564,0.5788787,2.2836926,0.43162712,9.064488e-05,0.35513982,2.2726927,0.3537175,7.6236993e-06,incorrect,bicep_curl
0.43121156,0.36070982,-0.64067787,0.9999653,0.6104842,0.5934198,-0.13641486,0.99968743,0.27190536,0.59602463,-0.11720816,0.9996538,0.664965,0.94766426,-0.45851105,0.8332593,0.19190523,0.95568603,-0.54687786,0.89728904,0.62467587,0.7606145,-0.9741777,0.9661434,0.27787775,0.74878097,-1.2633371,0.9763322,0.57140666,1.2623084,-0.01690692,0.032466628,0.3325922,1.2747931,0.020667639,0.02469782,0.56912243,1.7919965,0.007842712,0.0012061236,0.33110833,1.8008047,0.06027911,0.000520714,0.57820034,2.2732568,0.4327548,0.00010080633,0.3544317,2.2629333,0.3479995,8.460654e-06,incorrect,bicep_curl
