nose_x,nose_y,nose_z,nose_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,label,exercise
0.4270822,0.22368409,-1.372726,0.9996852,0.6616467,0.35963523,-0.96453154,0.99447775,0.29461694,0.3757657,-0.9335453,0.99727774,0.6770522,0.72579294,-0.99304855,0.92518467,0.31066483,0.76356006,-0.9623979,0.9680945,0.6270659,1.0258138,-1.2208755,0.7531506,0.28754303,1.0696619,-1.1380284,0.9126717,0.5907537,0.74830157,-0.012733713,0.997486,0.40058884,0.74936146,0.013423728,0.9956469,0.6736454,0.9687126,0.06680086,0.65159315,0.3077876,0.9541979,0.3365789,0.5529096,0.6525457,1.0290762,0.80358475,0.20714542,0.35311309,1.011535,0.92299527,0.14869864,correct,pushup
0.42743516,0.22217065,-1.47198,0.99968004,0.6616817,0.3603655,-1.0343043,0.99468434,0.2944989,0.37585893,-0.9994049,0.99732167,0.6778766,0.7296972,-1.071934,0.9301013,0.30990347,0.76408285,-1.0265676,0.9686371,0.6268741,1.033879,-1.2330124,0.758343,0.28805214,1.0714781,-1.2435822,0.91029304,0.59089404,0.752435,-0.012937071,0.9975787,0.40048122,0.75746524,0.0136043895,0.9958303,0.6749141,0.98216134,-0.10455455,0.6478865,0.29849946,0.9684526,0.17995867,0.5492909,0.65781146,1.062806,0.7270831,0.20274416,0.3473424,1.0615559,0.88100433,0.14364752,correct,pushup
0.42776233,0.22074714,-1.4425447,0.99967885,0.66192156,0.36077178,-1.028533,0.9947734,0.29446304,0.3759497,-0.9945348,0.9972969,0.6789068,0.7318046,-1.0687402,0.93463844,0.30915755,0.7654495,-1.0213038,0.9683506,0.6272182,1.0410659,-1.2528255,0.7682906,0.28580663,1.0720476,-1.2234427,0.91000074,0.5916707,0.7528804,-0.012946117,0.9975961,0.40108675,0.75744116,0.013608301,0.9958869,0.68006647,0.9802242,0.09724496,0.6466925,0.29654026,0.96821827,0.2925549,0.55046564,0.6737194,1.0547558,0.83935785,0.20385768,0.34554827,1.0586296,0.93534297,0.14491796,correct,pushup
0.42778644,0.21963522,-1.3871601,0.99967414,0.66205287,0.3607323,-0.98466694,0.9947983,0.29443935,0.37603173,-0.94769657,0.9971025,0.6789953,0.7319721,-1.0091536,0.9385637,0.30825517,0.77015793,-0.9811276,0.9672354,0.62745416,1.0492712,-1.2083372,0.77672005,0.28172696,1.0752888,-1.1728972,0.9074344,0.5918187,0.75497776,-0.01331562,0.99757814,0.4014761,0.7589268,0.013960393,0.9958065,0.6833176,0.9786159,0.09796298,0.6493951,0.2951259,0.9677015,0.3309316,0.5539987,0.68781126,1.0483899,0.82607186,0.20814009,0.34188324,1.0465635,0.93165576,0.1477653,correct,pushup
0.42790946,0.21800742,-1.4241264,0.9996714,0.6623075,0.36018816,-1.0060751,0.99496937,0.2944131,0.3762879,-0.9746208,0.9969607,0.6790455,0.73192275,-1.0760353,0.94226056,0.30784717,0.7756766,-1.0400013,0.9667616,0.62764466,1.0770714,-1.3048544,0.7831511,0.27698767,1.0771738,-1.2641906,0.903226,0.592537,0.7545181,-0.013929697,0.9976492,0.40248317,0.75936604,0.014540166,0.99585193,0.6922642,0.97616786,-0.03115875,0.65433407,0.29172722,0.9673773,0.2779818,0.5520225,0.6849593,1.0474586,0.74528736,0.21045588,0.34328607,1.045993,0.9213319,0.14397407,correct,pushup
0.4279781,0.21542522,-1.457103,0.99967694,0.6623765,0.36027423,-1.0345489,0.9950367,0.29424396,0.37652794,-1.017606,0.9969213,0.67918,0.7361878,-1.1764988,0.94480836,0.3073588,0.78040993,-1.12586,0.96624815,0.6240541,1.0763907,-1.4889505,0.7816874,0.27528393,1.080904,-1.3842269,0.8981285,0.59255475,0.75377107,-0.0153196845,0.9977414,0.4016661,0.7586126,0.015892345,0.9959403,0.6899253,0.9733202,-0.07485701,0.6565052,0.2934281,0.96707714,0.29878622,0.54731864,0.67599773,1.037692,0.71589744,0.21189147,0.34524822,1.0328628,0.92690504,0.14194706,correct,pushup
0.42804113,0.21394001,-1.4654168,0.99968386,0.662441,0.36046648,-1.0411582,0.99511254,0.29413635,0.37675476,-1.0260193,0.996904,0.6792834,0.7394008,-1.1886132,0.9470784,0.3070639,0.7828029,-1.135004,0.9659028,0.62175965,1.076985,-1.5047078,0.77985615,0.27447826,1.0832418,-1.3932737,0.89334357,0.5925821,0.753647,-0.016342666,0.9978279,0.40116534,0.758486,0.016892191,0.9960258,0.68843687,0.97079396,-0.10595775,0.658285,0.2903695,0.96687955,0.29840428,0.54292524,0.6706724,1.0374002,0.6875464,0.21350856,0.3465947,1.0316978,0.9271862,0.13956834,correct,pushup
0.42732137,0.21028383,-1.4305496,0.99967736,0.66244566,0.3631727,-1.0091828,0.9941285,0.29410356,0.3800878,-1.0018513,0.9970311,0.6850531,0.7520983,-1.1431587,0.9483496,0.30704722,0.7931426,-1.1308304,0.96626467,0.62209255,1.0237167,-1.4749107,0.7760514,0.2935553,1.0560212,-1.323996,0.895376,0.59531486,0.75338054,-0.014888929,0.9973582,0.402886,0.7546701,0.015513634,0.99597704,0.65938103,0.9809576,0.35069853,0.65946484,0.30846065,0.9634655,0.47468647,0.5564437,0.6642977,1.0429283,1.1323063,0.21518432,0.36386287,1.0756819,1.0838345,0.15622793,correct,pushup
0.42675185,0.20936054,-1.4190907,0.99967086,0.66255873,0.3643936,-0.99817646,0.99348587,0.29408377,0.3816431,-0.99006957,0.9971434,0.687896,0.7561692,-1.1307521,0.94974375,0.3070499,0.7971417,-1.1101481,0.96645075,0.622497,1.0074693,-1.4746058,0.77429307,0.29989865,1.0459014,-1.3178113,0.8972051,0.5970025,0.7525352,-0.01385214,0.99694926,0.4041308,0.7523493,0.014516808,0.9958975,0.6513135,0.98476404,0.33013237,0.66063535,0.31534424,0.96144766,0.46299845,0.56717527,0.6614004,1.0429552,1.1163832,0.21552944,0.36835212,1.0812104,1.0726845,0.16869713,correct,pushup
0.4245077,0.20888513,-1.4334977,0.9996973,0.6606859,0.3647675,-0.99189585,0.9940636,0.29410976,0.376567,-0.9584099,0.9973754,0.7222127,0.7421532,-1.0125037,0.95383596,0.30721587,0.7747165,-0.93215644,0.96831644,0.6373333,0.9675934,-1.1986141,0.78878146,0.30923262,1.0364419,-1.1085929,0.90146196,0.59728134,0.7445123,-0.018638428,0.9970978,0.40646896,0.73541826,0.019073533,0.99611634,0.64937514,0.9774035,-0.18362437,0.6559618,0.32123035,1.0217731,0.045547433,0.56064683,0.6579939,1.0448651,0.6668125,0.20358309,0.36867496,1.0905483,0.7700307,0.15644033,correct,pushup
