nose_x,nose_y,nose_z,nose_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,label,exercise
0.36299178,0.36273307,-1.3535445,0.9994408,0.5535987,0.38792104,-0.98131543,0.99705946,0.24983533,0.5148868,-1.0047318,0.99669427,0.6521808,0.75530267,-1.0958407,0.84152555,0.2710076,0.9012736,-1.119767,0.9682359,0.6285024,1.0609925,-1.3117996,0.5601937,0.27101982,1.2170011,-1.2538273,0.87745506,0.54994124,0.7169384,-0.011545302,0.9970562,0.38537842,0.77280295,0.011741285,0.9909797,0.63770735,0.85342014,-0.08752379,0.36563838,0.37893564,0.94250643,0.1209901,0.20965366,0.60249174,0.8754269,0.5448677,0.12629649,0.46470737,0.8420907,0.707419,0.034040708,incorrect,pushup
0.36327833,0.36315826,-1.3440759,0.99948514,0.5556201,0.39088646,-0.9801022,0.99718916,0.24988914,0.51485944,-0.99972284,0.9966754,0.6514515,0.75800735,-1.0887707,0.85055834,0.27154666,0.90097684,-1.1141403,0.968769,0.6297905,1.0698344,-1.3005453,0.5840399,0.27323207,1.216,-1.2510911,0.8803881,0.5503542,0.7170112,-0.011078047,0.99729687,0.384023,0.77221555,0.011310453,0.99158597,0.6344323,0.8782984,-0.10411642,0.36463717,0.37844658,0.9545854,0.06942046,0.2172988,0.6013123,0.8806178,0.5358546,0.119451866,0.46522865,0.8434216,0.68666685,0.03222227,incorrect,pushup
0.36349875,0.3636531,-1.3328232,0.99952555,0.55679756,0.3928051,-0.9747073,0.9973203,0.24993272,0.5148546,-0.9908169,0.9966676,0.65088356,0.7594534,-1.0811197,0.8583909,0.27195454,0.9003557,-1.1059586,0.96921885,0.63067263,1.0729343,-1.2916545,0.60523415,0.27406755,1.2159216,-1.243058,0.88292325,0.55036795,0.7267142,-0.01103487,0.99751514,0.38342994,0.771655,0.011254085,0.9921358,0.63290876,0.88181955,-0.12454542,0.36344752,0.37652877,0.9544631,0.059310805,0.22382535,0.6014311,0.8822516,0.521906,0.11328336,0.4680534,0.8439604,0.662245,0.030596491,incorrect,pushup
0.3636556,0.36425608,-1.3234017,0.99955827,0.5568691,0.39302388,-0.96553886,0.9973873,0.24996419,0.51484984,-0.97876084,0.99654454,0.65095395,0.7568714,-1.0777307,0.8634872,0.27225405,0.9004907,-1.0959489,0.9693942,0.6310825,1.0646213,-1.2908252,0.6177921,0.27400008,1.215684,-1.2355531,0.88323855,0.5504385,0.7265623,-0.011576801,0.99769795,0.38340887,0.77460027,0.011806338,0.9924903,0.6341654,0.8554245,-0.1690531,0.36587584,0.37666035,0.95406765,0.05292306,0.22892287,0.6040958,0.8862124,0.41881728,0.11253705,0.47052798,0.8445198,0.62999177,0.029580908,incorrect,pushup
0.3637718,0.36499712,-1.3122935,0.9995803,0.556982,0.39348772,-0.957166,0.99737734,0.24999109,0.51483953,-0.97583497,0.99645656,0.6508428,0.75447935,-1.0846841,0.8662709,0.27233425,0.90051496,-1.0930281,0.9698687,0.63139457,1.0565712,-1.3175772,0.62581635,0.27301553,1.2153432,-1.2227657,0.8848746,0.5507002,0.7273283,-0.011535903,0.9978425,0.38339517,0.7766766,0.0117634665,0.99266946,0.63411105,0.8522691,-0.101602614,0.35899282,0.38143352,0.9529634,0.13450947,0.22572671,0.6044629,0.8848953,0.45113674,0.10898096,0.47171873,0.8448352,0.63279295,0.02844584,incorrect,pushup
0.36379012,0.36622143,-1.2775548,0.99957705,0.5581849,0.39878845,-0.9230614,0.9971391,0.24997067,0.5148112,-0.93553174,0.9958895,0.64987373,0.7670011,-1.0066854,0.8700347,0.27229017,0.9016476,-1.0308404,0.9698656,0.62884235,1.0793955,-1.1880674,0.6362665,0.2729047,1.215446,-1.136351,0.8863102,0.55080867,0.7312914,-0.0114660915,0.99791604,0.38261122,0.7770256,0.011724132,0.9924679,0.61845094,0.9173943,0.08695145,0.34493592,0.39456064,0.9505022,0.29928687,0.21785456,0.6024461,0.8897579,0.72044396,0.101234525,0.4736355,0.84829926,0.83468544,0.026784347,incorrect,pushup
0.36366263,0.3673261,-1.2650344,0.9995681,0.5586955,0.40105665,-0.9105605,0.9969404,0.24995537,0.51473635,-0.9250781,0.9953742,0.6495162,0.76749223,-0.98968744,0.872701,0.27227652,0.9026627,-1.0183651,0.9698837,0.62800306,1.0767181,-1.1728185,0.64471835,0.27231115,1.2155464,-1.1244745,0.8872679,0.55083907,0.73351467,-0.01143007,0.99796546,0.38194707,0.7771338,0.01169545,0.9921182,0.6124711,0.92885154,0.09861237,0.33087578,0.39907292,0.94890034,0.31514114,0.20959343,0.6040536,0.88683105,0.72393256,0.094295815,0.4745713,0.8498632,0.8455054,0.025279405,incorrect,pushup
0.36233133,0.36735564,-1.4077173,0.99960715,0.55875516,0.4045491,-1.008049,0.99703586,0.25015587,0.5143511,-1.0455209,0.99564403,0.65834993,0.75388604,-1.2100945,0.8781276,0.27243963,0.9005998,-1.1735531,0.97128034,0.63758355,1.0385841,-1.5272931,0.6514043,0.25939786,1.2148538,-1.3194107,0.89048004,0.5525195,0.73438746,-0.010791128,0.9981351,0.3821506,0.7564088,0.010937789,0.99268997,0.6505736,0.90761673,0.016643612,0.34249854,0.37464955,0.93801445,0.29073706,0.21798477,0.61764127,0.8850393,0.6375365,0.09858254,0.46262336,0.83816904,0.7984592,0.026714448,incorrect,pushup
0.36143106,0.3673767,-1.389558,0.9996445,0.5567461,0.4032424,-0.9627763,0.9973042,0.24951419,0.51431525,-0.99558914,0.9959986,0.66002697,0.68177986,-1.1768638,0.8894966,0.27271432,0.89132804,-1.1021031,0.9733566,0.64053106,0.94929945,-1.4231087,0.6813042,0.26069582,1.1281216,-1.2934234,0.8979921,0.5507278,0.7137059,-0.008890495,0.99827063,0.3816287,0.75189126,0.009018896,0.99324185,0.6823082,0.81258,-0.31914005,0.37805662,0.37582478,1.011764,-0.098431095,0.24757667,0.63918537,0.88793194,0.29762527,0.112189904,0.47814566,0.93451345,0.4709857,0.031034721,incorrect,pushup
0.36132407,0.36739257,-1.3886788,0.9996761,0.5564006,0.40296584,-0.9452507,0.9975201,0.24918191,0.514305,-0.9755365,0.99628645,0.66532296,0.6855088,-1.1267784,0.8993957,0.27290925,0.8891374,-1.0568631,0.975261,0.6403315,0.9467181,-1.3933868,0.70555586,0.26149827,1.1328466,-1.2346809,0.9041896,0.5493542,0.712227,-0.008693873,0.99833554,0.38130957,0.75351363,0.008830404,0.9935717,0.6773394,0.8144108,-0.30872717,0.4008092,0.37619302,1.0226243,-0.050924677,0.26341107,0.6481573,0.9081763,0.3050334,0.120503455,0.48389563,0.98312205,0.47999716,0.034938175,incorrect,pushup
