nose_x,nose_y,nose_z,nose_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,label,exercise
0.46392888,0.1093452,-0.9914716,0.9988398,0.6629711,0.2656366,-0.7067099,0.9991242,0.3933642,0.30774418,-0.6204249,0.9991117,0.69720954,0.5920909,-0.62137216,0.98069835,0.45675915,0.6135524,-0.5199512,0.9622351,0.6498881,0.8570071,-0.6096352,0.9028091,0.5021737,0.877576,-0.55833495,0.8236496,0.65150785,0.6420012,-0.015513627,0.99121106,0.50057036,0.66030115,0.015958829,0.99237543,0.68890953,0.9813261,-0.036146723,0.7359822,0.41359204,0.9690521,0.037265167,0.8491592,0.7131529,1.1830156,0.5849859,0.23349915,0.50222534,1.1963931,0.6276265,0.31590053,correct,squat
0.4618175,0.13103655,-0.99454516,0.99889433,0.6628978,0.2667676,-0.71233064,0.99904776,0.39363402,0.3211704,-0.60984975,0.99881846,0.7037162,0.59451497,-0.6274725,0.9809764,0.46447912,0.61726147,-0.5100873,0.9550629,0.65003264,0.87069356,-0.6223902,0.9037504,0.53140056,0.86731225,-0.5543566,0.7919087,0.6595817,0.6471578,-0.016140968,0.9917215,0.50893855,0.6638737,0.016582947,0.9928109,0.68949634,0.98187125,-0.009684566,0.7103128,0.41376418,0.9665566,0.046203192,0.83053714,0.7064663,1.183905,0.5841198,0.22092205,0.5032646,1.1982924,0.55254585,0.30218714,correct,squat
0.4630409,0.21696033,-0.92985153,0.9990011,0.6620439,0.30457008,-0.6420543,0.99912703,0.3973739,0.3795501,-0.5337081,0.998904,0.72381556,0.6169032,-0.59452903,0.9818353,0.48226675,0.6467232,-0.47034788,0.95402247,0.66092867,0.8852304,-0.6217198,0.9071883,0.55840117,0.8794121,-0.531891,0.7694873,0.68030715,0.6756436,-0.020600308,0.99213964,0.5386547,0.70020795,0.020939853,0.9932166,0.7026049,0.9818365,-0.250336,0.6980857,0.4280815,0.9791581,-0.24603626,0.83022565,0.7262434,1.2348115,0.22030568,0.2194676,0.5189763,1.2575243,0.1254042,0.3169336,correct,squat
0.46359062,0.24002849,-0.896078,0.9990956,0.66187674,0.33030894,-0.5970824,0.9991956,0.3981798,0.39801398,-0.49731007,0.9989713,0.72883755,0.62560195,-0.5616036,0.9821365,0.4835952,0.6608865,-0.44559997,0.95219594,0.6724719,0.8949416,-0.60850304,0.9061017,0.5547324,0.8794442,-0.5216879,0.7408572,0.6857467,0.68944335,-0.02176788,0.99232864,0.54357654,0.7158505,0.022059105,0.9932233,0.70202893,0.9809549,-0.43995842,0.67094237,0.43175775,0.9804794,-0.38461402,0.8189423,0.72133416,1.237704,0.04968259,0.20775294,0.53837967,1.2435353,-0.016805176,0.31319207,correct,squat
0.46695977,0.25775796,-0.8396184,0.9991832,0.6618862,0.34858403,-0.54305875,0.99926275,0.4033133,0.41446984,-0.45353484,0.9990328,0.73400843,0.633851,-0.49843058,0.98280716,0.48266464,0.67310554,-0.40166527,0.9509262,0.6836714,0.8988793,-0.54011923,0.9074502,0.548525,0.8770714,-0.49179474,0.71979815,0.69111395,0.7005451,-0.020753564,0.9926779,0.54928434,0.73091525,0.021008821,0.9932957,0.736263,0.9568256,-0.5369171,0.656088,0.43299136,0.98078835,-0.45629495,0.80897224,0.74250734,1.174506,-0.04484769,0.19802845,0.548806,1.2117786,-0.060734253,0.30268696,correct,squat
0.4867518,0.34568995,-0.84903276,0.99926335,0.66794616,0.42271328,-0.5560881,0.9993178,0.41946158,0.4688977,-0.4963266,0.9991127,0.74594396,0.67689914,-0.5169133,0.983501,0.49009824,0.70356745,-0.43429556,0.9505847,0.69241834,0.91941947,-0.54800284,0.9072661,0.5794583,0.875909,-0.5047793,0.7149466,0.6869735,0.7439382,-0.019388597,0.9931268,0.55270666,0.7711218,0.019504482,0.99361104,0.7523122,0.9569052,-0.385573,0.66043794,0.43469754,0.99352646,-0.32537016,0.81346685,0.7390064,1.1425508,0.04440708,0.19844101,0.5528776,1.127817,0.07206654,0.29538763,correct,squat
0.503179,0.36244932,-0.91887176,0.9993323,0.67225844,0.44801053,-0.57660997,0.9993658,0.42652506,0.48611245,-0.5137305,0.9991491,0.75147355,0.69370455,-0.55784714,0.98454034,0.49039736,0.7073864,-0.41122836,0.9443834,0.7053327,0.92994255,-0.59465754,0.91022885,0.58750665,0.8716296,-0.4559206,0.6870897,0.68659776,0.7583813,-0.019347295,0.9935575,0.5583781,0.78587127,0.019477518,0.9938543,0.76264274,0.96819484,-0.31514505,0.65372926,0.4384486,1.0070103,-0.30203253,0.81224304,0.7501689,1.1440394,0.11114861,0.19989993,0.5533075,1.1328552,0.12828529,0.2845325,correct,squat
0.5172347,0.37983048,-0.9481413,0.9993957,0.6832044,0.45788765,-0.60597193,0.9993923,0.43474522,0.4867533,-0.5660819,0.99921525,0.74892324,0.70620334,-0.5589403,0.9847685,0.4919056,0.71190226,-0.47975534,0.94535357,0.7060163,0.93744034,-0.60725343,0.9062334,0.5980876,0.8612973,-0.5396808,0.68236274,0.6892797,0.762878,-0.019534247,0.99350977,0.5615811,0.7876657,0.019709753,0.993848,0.7540754,0.98609346,-0.30287346,0.635064,0.44212848,1.004138,-0.26210925,0.8043791,0.7447117,1.1428434,0.10987028,0.19149329,0.55900705,1.1449298,0.083751045,0.28037733,correct,squat
0.5298708,0.38591146,-0.95415485,0.9994531,0.69131386,0.46653265,-0.6374935,0.9994158,0.44666353,0.49136162,-0.5992547,0.9992684,0.75133365,0.72407526,-0.5897208,0.98493075,0.5004155,0.72354066,-0.5440523,0.94785714,0.71016717,0.9452209,-0.63669574,0.90420103,0.6118058,0.8609254,-0.5978359,0.68548626,0.6972567,0.76902187,-0.020095065,0.9937082,0.5674769,0.78820693,0.020353783,0.99388766,0.75051636,1.0095056,-0.3321989,0.62758505,0.44501194,1.0019094,-0.26749513,0.8021283,0.72949344,1.1661142,0.037463006,0.18712984,0.57149786,1.1184056,0.07023272,0.26912543,correct,squat
0.57915366,0.3820277,-0.7984685,0.99950707,0.7180693,0.47925,-0.53038657,0.99944305,0.48261327,0.5017843,-0.51804864,0.9993263,0.7558407,0.722385,-0.47882253,0.98448795,0.51116383,0.72951543,-0.5401432,0.9520909,0.7175678,0.9223769,-0.5268904,0.90283275,0.63735706,0.8578809,-0.55325484,0.70572644,0.7043544,0.78421843,-0.024914471,0.99369925,0.5755744,0.79286695,0.02511878,0.99372745,0.7224887,1.0070399,-0.34830898,0.6385619,0.44745335,1.003077,-0.24659136,0.81030977,0.6966485,1.1880896,0.0021812546,0.20201711,0.56905746,1.1247085,0.10367215,0.2653646,correct,squat
0.4652809500694275,0.044631827622652054,-0.4389435648918152,0.9988972544670105,0.5981090664863586,0.21172289550304413,-0.1403173804283142,0.9911993741989136,0.3401661515235901,0.20254336297512054,-0.2652091681957245,0.9990075826644897,0.6228382587432861,0.49277621507644653,0.00634136563166976,0.6912093162536621,0.3218228816986084,0.4637095630168915,-0.3392440676689148,0.6882005333900452,0.6572550535202026,0.7499353885650635,0.028523718938231468,0.5277870297431946,0.30297935009002686,0.691051185131073,-0.49890583753585815,0.5319177508354187,0.5444254875183105,0.6500889658927917,0.024636786431074142,0.4053080677986145,0.4029470384120941,0.6555323004722595,-0.02429877035319805,0.42991986870765686,0.5603030920028687,0.9530859589576721,-0.03590148314833641,0.21932823956012726,0.4271644949913025,1.026063084602356,-0.0099279023706913,0.18469497561454773,0.5633760690689087,1.2552731037139893,0.47954756021499634,0.0397452674806118,0.42682719230651855,1.2575335502624512,0.4833236336708069,0.04539214447140694,correct,squat
0.4654625356197357,0.04513007029891014,-0.4313679337501526,0.9989734292030334,0.5986266732215881,0.21169443428516388,-0.15089496970176697,0.992053210735321,0.3429122567176819,0.20264528691768646,-0.2223065346479416,0.9990584254264832,0.6230385899543762,0.49239304661750793,-0.013150195591151714,0.718550443649292,0.3261098861694336,0.4637037515640259,-0.2428242415189743,0.7147140502929688,0.656109631061554,0.7527418732643127,0.010060754604637623,0.5697060227394104,0.3131152391433716,0.6920264959335327,-0.329764187335968,0.5638586282730103,0.5443870425224304,0.6556509733200073,0.016071639955043793,0.4646899998188019,0.4029068052768707,0.6580770611763,-0.015907127410173416,0.48681336641311646,0.5676209330558777,0.9603483080863953,-0.06253492832183838,0.27019381523132324,0.43480992317199707,1.0328887701034546,0.01629701629281044,0.23142662644386292,0.5741940140724182,1.2630674839019775,0.41100531816482544,0.053160957992076874,0.43571600317955017,1.2621514797210693,0.47865018248558044,0.0594450868666172,correct,squat
0.4666198194026947,0.04516112059354782,-0.4521616995334625,0.9990581274032593,0.5994950532913208,0.21129271388053894,-0.17025722563266754,0.992821455001831,0.34287959337234497,0.20195381343364716,-0.25085869431495667,0.9991284012794495,0.6232650279998779,0.4915749728679657,-0.02292686328291893,0.7424145340919495,0.3261049687862396,0.46369072794914246,-0.26425737142562866,0.7396762371063232,0.6552671194076538,0.7532774209976196,0.010162431746721268,0.6054242253303528,0.3164627254009247,0.6918776035308838,-0.34723204374313354,0.5934444665908813,0.5441412925720215,0.6568071246147156,0.013738805428147316,0.5181155204772949,0.40279340744018555,0.6572171449661255,-0.013558192178606987,0.5380244255065918,0.5684006810188293,0.9572412967681885,-0.02229377254843712,0.32089757919311523,0.43737825751304626,1.0213202238082886,0.047705404460430145,0.2836465537548065,0.5728456974029541,1.2469266653060913,0.4290250837802887,0.07924696058034897,0.43813031911849976,1.2484527826309204,0.4595712721347809,0.09050869196653366,correct,squat
0.46901828050613403,0.03343530371785164,-0.35743170976638794,0.9991152882575989,0.6102389097213745,0.20096804201602936,-0.12823325395584106,0.9934948682785034,0.35445213317871094,0.19949747622013092,-0.1622440367937088,0.9991284608840942,0.6361672282218933,0.48593276739120483,-0.02054845169186592,0.7635096311569214,0.334148645401001,0.4625451862812042,-0.15051086246967316,0.755393385887146,0.6642954349517822,0.7506813406944275,-0.012330194935202599,0.634488046169281,0.3208872973918915,0.683428943157196,-0.21394574642181396,0.604508638381958,0.557860255241394,0.6673728227615356,0.012976233847439289,0.5660920143127441,0.406642347574234,0.6558427214622498,-0.012686071917414665,0.5839778184890747,0.5743315815925598,0.9328818917274475,-0.06994859874248505,0.37407803535461426,0.4362688660621643,0.9501321315765381,0.05381948873400688,0.33399948477745056,0.5687199831008911,1.2220079898834229,0.3885962665081024,0.10287546366453171,0.43957966566085815,1.2217442989349365,0.4778253436088562,0.11736603826284409,correct,squat
0.4725009799003601,0.03362572565674782,-0.406385600566864,0.9991169571876526,0.6166714429855347,0.19690261781215668,-0.17725585401058197,0.9940817952156067,0.36019691824913025,0.19860395789146423,-0.16604602336883545,0.9990330338478088,0.6427502632141113,0.4853980243206024,-0.05709115415811539,0.7772060036659241,0.33910292387008667,0.4625411033630371,-0.1423327475786209,0.7508613467216492,0.6720848083496094,0.7492053508758545,-0.08614055812358856,0.64901202917099,0.3334067761898041,0.6781696677207947,-0.20272156596183777,0.5947545766830444,0.5651222467422485,0.6709502339363098,4.6672881580889225e-05,0.6092400550842285,0.4158322811126709,0.6547094583511353,0.0003697142528835684,0.6252458095550537,0.5739123821258545,0.9309415221214294,-0.07400456815958023,0.4249238073825836,0.43596959114074707,0.9321708083152771,0.08540137857198715,0.38320261240005493,0.5668565630912781,1.2152460813522339,0.3746233582496643,0.14096158742904663,0.45607978105545044,1.2086156606674194,0.5517094135284424,0.14775778353214264,correct,squat
0.4759664535522461,0.03882419690489769,-0.3755641579627991,0.9991510510444641,0.6215099692344666,0.1964401751756668,-0.14865344762802124,0.9946334362030029,0.36364826560020447,0.19736558198928833,-0.15683327615261078,0.9990438222885132,0.646655797958374,0.4854685664176941,-0.04561591520905495,0.7929835915565491,0.3413575291633606,0.4580247700214386,-0.15407510101795197,0.7580007910728455,0.6776488423347473,0.7436544299125671,-0.03838308900594711,0.6718349456787109,0.3348832428455353,0.6720800995826721,-0.23586538434028625,0.5955243706703186,0.5696142911911011,0.6777419447898865,0.0021318590734153986,0.6481053829193115,0.419501394033432,0.6562396883964539,-0.0017687126528471708,0.6624992489814758,0.5837818384170532,0.9266166090965271,-0.06836192309856415,0.47263771295547485,0.43739280104637146,0.9569167494773865,0.060557931661605835,0.4325547516345978,0.5659391283988953,1.209625005722046,0.39568084478378296,0.16853496432304382,0.4525293707847595,1.2037206888198853,0.5436410307884216,0.17424918711185455,correct,squat
0.48766669631004333,0.0540497712790966,-0.37234851717948914,0.9992037415504456,0.6260143518447876,0.19985362887382507,-0.11674356460571289,0.9951094388961792,0.37552323937416077,0.19961309432983398,-0.11628197133541107,0.999072253704071,0.6476300954818726,0.4865480959415436,-0.02429647371172905,0.798313319683075,0.3446136713027954,0.4578142762184143,-0.12289451062679291,0.7612648010253906,0.6832136511802673,0.7382945418357849,-0.04939612001180649,0.6729992628097534,0.3329516649246216,0.66904616355896,-0.22689656913280487,0.5958557724952698,0.5756136178970337,0.6888847351074219,-0.0026209731586277485,0.6830267310142517,0.4219040870666504,0.6599129438400269,0.0028889402747154236,0.6959563493728638,0.5856600999832153,0.933908224105835,-0.10134051740169525,0.508069634437561,0.4541460871696472,1.0130280256271362,0.057702094316482544,0.4622536301612854,0.5671786069869995,1.2257039546966553,0.4127223491668701,0.18471327424049377,0.46483445167541504,1.2344831228256226,0.5405899882316589,0.18638654053211212,correct,squat
0.49241286516189575,0.06008332222700119,-0.3947426676750183,0.9992132782936096,0.6301676630973816,0.20709209144115448,-0.13265661895275116,0.9954716563224792,0.3829849362373352,0.20418362319469452,-0.13838890194892883,0.9990812540054321,0.6499459743499756,0.4885987639427185,-0.024438796564936638,0.8033797740936279,0.35038092732429504,0.4610724151134491,-0.13117313385009766,0.7663245797157288,0.6876876354217529,0.738524317741394,-0.0224597230553627,0.6721535325050354,0.33231085538864136,0.6693923473358154,-0.21197323501110077,0.5901148319244385,0.5846594572067261,0.6955553889274597,-0.0013869227841496468,0.714320957660675,0.42893117666244507,0.6692162752151489,0.001665291958488524,0.7260047793388367,0.5863856077194214,1.0023330450057983,-0.09119297564029694,0.5379655361175537,0.46694859862327576,1.037474513053894,0.05321713536977768,0.48925870656967163,0.5751105546951294,1.2431443929672241,0.4246215224266052,0.19467729330062866,0.4699995517730713,1.2610090970993042,0.5246841311454773,0.19443953037261963,correct,squat
0.4940257966518402,0.05947234109044075,-0.4430147707462311,0.9992356896400452,0.633584201335907,0.21038766205310822,-0.14922520518302917,0.9958034157752991,0.3867424428462982,0.20964325964450836,-0.17343227565288544,0.9990625977516174,0.6543851494789124,0.49303972721099854,-0.03598295524716377,0.8090469837188721,0.35507526993751526,0.4624186158180237,-0.15289485454559326,0.7717968821525574,0.6941127181053162,0.7467913031578064,-0.05488535016775131,0.6700233817100525,0.33353084325790405,0.6719448566436768,-0.23998045921325684,0.5835530757904053,0.5907961130142212,0.7030131220817566,-0.005089667625725269,0.7425971031188965,0.43425455689430237,0.67577064037323,0.0053378259763121605,0.7530856132507324,0.5922225713729858,0.9862359762191772,-0.08664211630821228,0.5651479959487915,0.4611171782016754,1.0266141891479492,0.04031576216220856,0.5121378898620605,0.5851081609725952,1.2690107822418213,0.4546284079551697,0.20555879175662994,0.4736877381801605,1.2842309474945068,0.5749036073684692,0.19693021476268768,correct,squat
0.49708229303359985,0.04752052575349808,-0.39193087816238403,0.9992961883544922,0.6380727887153625,0.21122802793979645,-0.14719384908676147,0.9961538910865784,0.388553261756897,0.2095530480146408,-0.13979235291481018,0.9990731477737427,0.6595855355262756,0.4971486032009125,-0.03841033950448036,0.8192044496536255,0.35798123478889465,0.464963436126709,-0.12552215158939362,0.7797422409057617,0.6965583562850952,0.7518746256828308,-0.01826956868171692,0.6786037087440491,0.33908236026763916,0.6767138242721558,-0.19779714941978455,0.5862236618995667,0.5940291881561279,0.7051516175270081,-0.008898979984223843,0.7681099772453308,0.4354979991912842,0.6761547327041626,0.009195012971758842,0.7775013446807861,0.5950196385383606,1.0215927362442017,-0.11855734884738922,0.5923976898193359,0.4595640301704407,1.0097566843032837,0.038526423275470734,0.5336843132972717,0.5838299989700317,1.2700456380844116,0.3969093859195709,0.2113923281431198,0.4695185124874115,1.2801178693771362,0.5643796324729919,0.20043841004371643,correct,squat
