nose_x,nose_y,nose_z,nose_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,label,exercise
0.5895362,0.16177608,-0.6495261,0.9998962,0.70596135,0.30401364,-0.36954206,0.9999535,0.5007584,0.3361268,-0.26437023,0.9993969,0.7685121,0.5315719,-0.3477643,0.99330556,0.43276468,0.5309899,-0.21035567,0.94849855,0.7362075,0.7379026,-0.49015927,0.980882,0.33667663,0.7253635,-0.36299074,0.8961163,0.686496,0.6847494,-0.031459693,0.99410266,0.56725895,0.7022117,0.031854447,0.9865556,0.68267334,0.9166874,-0.18383592,0.565839,0.5885506,0.9363166,0.036046993,0.3554705,0.6590611,1.1106032,0.29702383,0.16517788,0.6059675,1.1344905,0.42227632,0.11629943,incorrect,squat
0.5888042,0.16192366,-0.59921765,0.99990284,0.7058899,0.30420628,-0.33133706,0.99995625,0.50062263,0.33621266,-0.23654003,0.9994163,0.76724267,0.53177816,-0.3050807,0.9935394,0.43279332,0.529716,-0.186044,0.9492051,0.73621434,0.7379149,-0.44820422,0.9813628,0.33719245,0.72353274,-0.32094604,0.89466494,0.6860773,0.6849224,-0.029496256,0.9942582,0.5662097,0.70237774,0.029990826,0.9865405,0.68315345,0.91271615,-0.3188987,0.57502794,0.58792776,0.93506235,0.040147472,0.349431,0.65723103,1.1118295,0.05830025,0.16480617,0.6047195,1.128535,0.38946414,0.11306481,incorrect,squat
0.58704495,0.16225515,-0.58208996,0.999908,0.7061352,0.30425024,-0.3215002,0.9999581,0.5008143,0.33578587,-0.23014021,0.99943876,0.7630943,0.53181785,-0.28954726,0.9936217,0.43296045,0.529993,-0.17690751,0.9503375,0.7352813,0.7381962,-0.42968354,0.98153406,0.33882037,0.7232141,-0.30474824,0.89502746,0.68661916,0.6855819,-0.021697227,0.99444395,0.565508,0.7031744,0.022259263,0.9867263,0.6836728,0.91516155,-0.35697407,0.5841595,0.5875478,0.9392227,0.023228522,0.354204,0.6547033,1.1186074,-0.012551126,0.16484755,0.6076142,1.1359874,0.3241195,0.111508526,incorrect,squat
0.58585155,0.16250357,-0.47552785,0.9999129,0.7063168,0.30430967,-0.24913569,0.999959,0.5009568,0.33488405,-0.17128423,0.99944973,0.7602455,0.53196025,-0.21165428,0.99337125,0.43404213,0.530222,-0.121391,0.9510329,0.73420817,0.73822147,-0.3352682,0.9807686,0.34352595,0.72325295,-0.226759,0.8944179,0.68701994,0.68613845,-0.01056694,0.9946798,0.5656349,0.70325965,0.011238619,0.98694605,0.6945354,0.91424483,-0.48047894,0.60507804,0.58715886,0.9375011,0.015064615,0.3702475,0.65249664,1.1166527,-0.22431354,0.17157863,0.60725856,1.1354057,0.27922297,0.11068509,incorrect,squat
0.5851576,0.16265601,-0.52443254,0.999919,0.7064606,0.30445302,-0.28456625,0.9999607,0.50105965,0.3346935,-0.19247511,0.99947745,0.7579771,0.53197294,-0.24593668,0.9935038,0.43636099,0.53080195,-0.13415255,0.95283854,0.7332078,0.7381264,-0.36594155,0.9812077,0.34992746,0.7242903,-0.24898477,0.89734226,0.6873821,0.68676835,-0.012281679,0.9949468,0.5658175,0.70360607,0.012930103,0.9876328,0.6945148,0.91882706,-0.37862772,0.6292336,0.58852357,0.9473597,0.022686616,0.39703172,0.65296215,1.123732,-0.03312021,0.18609309,0.6109651,1.1576856,0.32223356,0.118702404,incorrect,squat
0.58507967,0.16270487,-0.5375174,0.9999161,0.7074483,0.30471697,-0.29029852,0.9999515,0.50180674,0.334898,-0.19790585,0.9994501,0.7550186,0.5307592,-0.21849155,0.99322975,0.45656618,0.5385465,-0.10696707,0.95250994,0.73306024,0.73700184,-0.3147102,0.9796182,0.4132635,0.72661525,-0.2145851,0.88718516,0.68894744,0.68659794,-0.0088159125,0.99473345,0.5659452,0.6998739,0.009577369,0.9872269,0.69208246,0.8984686,-0.45723638,0.64494073,0.5828024,0.94542605,-0.06712206,0.41696432,0.64855224,1.1420499,-0.18095013,0.19429319,0.6005007,1.1675105,0.20276055,0.119830675,incorrect,squat
0.58479804,0.1603343,-0.49710304,0.99991935,0.7083411,0.3048207,-0.26505166,0.99994344,0.5036987,0.33471528,-0.19471085,0.9994724,0.7522945,0.5307858,-0.16980362,0.9929597,0.46634063,0.54349524,-0.11856456,0.95528424,0.73247373,0.73587286,-0.20408957,0.97908604,0.44867802,0.7359466,-0.18500695,0.8888485,0.68982196,0.6865205,-0.0081978375,0.99482584,0.5660864,0.6971203,0.008852003,0.98776907,0.69201577,0.892666,-0.43694416,0.6688876,0.57942027,0.95227313,-0.049124595,0.4453307,0.6553322,1.1365578,-0.13171741,0.21069406,0.5934421,1.1717827,0.27637896,0.12763529,incorrect,squat
0.58487487,0.15924793,-0.5244478,0.9999224,0.7090301,0.30490845,-0.27955353,0.9999357,0.50523585,0.33458915,-0.23726371,0.9995034,0.7516708,0.5308683,-0.19587529,0.99291277,0.47141647,0.55000424,-0.17411244,0.9580831,0.73158073,0.73559517,-0.22180709,0.97942924,0.46391672,0.75267994,-0.2210042,0.8914689,0.6898616,0.6856149,-0.008753664,0.9948209,0.5662058,0.6940248,0.009338633,0.9884584,0.690406,0.9143409,-0.25410488,0.677488,0.57798946,0.95277303,-0.008026043,0.46157867,0.65900505,1.1335866,0.04566138,0.21445084,0.5879896,1.1669198,0.29654062,0.13425817,incorrect,squat
0.58511764,0.15934172,-0.55917025,0.99991393,0.70997405,0.30531567,-0.28641397,0.99991184,0.50705266,0.33475277,-0.26189268,0.9995068,0.751789,0.5323542,-0.1869085,0.9924698,0.47513524,0.5575656,-0.19248778,0.9592299,0.7309679,0.7356108,-0.2242703,0.9781644,0.47309446,0.7612719,-0.24286106,0.88419855,0.68975693,0.6864879,0.0004495109,0.9943745,0.5649351,0.69386697,0.00015516233,0.98872787,0.69090044,0.9366699,-0.1905662,0.6951701,0.57710975,0.96405417,0.002346543,0.49054503,0.6592778,1.1375493,0.20575173,0.2320131,0.5858422,1.1764436,0.30096617,0.15132529,incorrect,squat
0.58529174,0.15936345,-0.53607404,0.9999151,0.7103451,0.30534628,-0.26560062,0.9999053,0.50759363,0.33499992,-0.25719714,0.9995199,0.75192934,0.53122354,-0.15677711,0.9922916,0.48344702,0.55943596,-0.1914162,0.96077687,0.73083556,0.73521405,-0.19789349,0.9781361,0.47931042,0.7625879,-0.24261546,0.8848383,0.69029295,0.6865148,0.00015222955,0.99457014,0.56501186,0.69398755,0.00045523033,0.98938787,0.6919941,0.9328795,-0.24234626,0.7141978,0.5779788,0.9618266,0.0058206767,0.5157371,0.6611975,1.1315796,0.108212195,0.2494475,0.58648056,1.1717502,0.33912963,0.16510695,incorrect,squat
